CntryCode,Countries and groupings (EN),Pays et groupements (FR)
101,Southern Africa,Afrique australe
102,Central Africa,Afrique centrale
103,East Africa,Afrique de l'Est
104,North Africa,Afrique du Nord
105,West Africa,Afrique de l'Ouest
110,Africa,Afrique
120,Latin America and Caribbean,Amérique latine et Caraîbes 
130,Asia (no high inc.),Asie (pays à revenu élevé exclus)
140,Other developing,Autres pays en developpmeent
150,High income (no LAC),Pays à revenu élévé (LAC exclus)
201,COMESA,COMESA
202,CEN-SAD,CEN-SAD
203,EAC,CAE
204,ECCAS,CEEAC
205,ECOWAS,CEDEA
206,IGAD,IGAD
207,SADC,CDAA
208,UMA,UMA
211,ASEAN,ASEAN
212,MERCOSUR,MERCOSUR
213,EU28,EU28
310,Resource-exporting countries,Pays exportateurs de ressources
311,"Africa, resource-exporting countries","Afrique, pays exportateurs de ressources"
319,"ROW, resource-exporting countries","RDM, pays exportateurs de ressources"
320,Non-resource-exporting countries,Pays exportateurs de ressources exclus
321,"Africa, non-resource-exporting countries",Afrique (pays non exportateurs de ressources exclus)
329,"ROW, non-resource-exporting countries",RDM (pays exportateurs de ressources exclus)
410,Low income countries,Pays à faible revenu
411,"Africa, low income countries","Afrique, pays à faible revenu"
419,"ROW, low income countries","RDM, pays à faible revenu"
420,Lower middle income countries,Pays à revenu intermédiaire inférieur
421,"Africa, lower middle income countries","Afrique, pays à revenu intermédiaire inférieur"
429,"ROW, lower middle income countries","RDM, pays à revenu intermédiaire inférieur"
430,Upper middle income countries,Pays à revenu intermédiaire supérieur
431,"Africa, upper middle income countries","Afrique, pays à revenu intermédiaire supérieur"
439,"ROW, upper middle income countries","RDM, pays à revenu intermédiaire supérieur"
440,High income countries (no LAC),Pays à revenu élevé
510,Least Developed Countries,Pays les moins avancés
511,"Africa, Least Developed Countries","Afrique, pays les moins avancés"
519,"ROW, Least Developed Countries","RDM, pays les moins avancés"
520,Small Island Developing States,Petits États insulaires en développement
521,"Africa, Small Island Developing States","Afrique, Petits États insulaires en développement"
529,"ROW, Small Island Developing States","RDM, Petits États insulaires en développement"
530,Landlocked Developing Countries,Pays en développement sans littoral
531,"Africa, Landlocked Developing Countries","Afrique, Pays en développement sans littoral"
539,"ROW, Landlocked Developing Countries","RDM, Pays en développement sans littoral"
540,Fragile States,États fragiles
541,"Africa, Fragile States","Afrique, États fragiles"
549,"ROW, Fragile States","RDM, États fragiles"
550,Extremely Fragile States,États extrêmement fragiles
900,World,Monde
AFG,Afghanistan,Afghanistan
AGO,Angola*,Angola*
ALB,Albania,Albanie
AND,Andorra,Andorre
ARE,United Arab Emirates*,Émirats arabes unis*
ARG,Argentina,Argentine
ARM,Armenia,Arménie
ATG,Antigua and Barbuda,Antigua-et-Barbuda
AUS,Australia,Australie
AUT,Austria,Autriche
AZE,Azerbaijan*,Azerbaïdjan*
BDI,Burundi,Burundi
BEL,Belgium,Belgique
BEN,Benin,Bénin
BFA,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgarie
BHR,Bahrain*,Bahreïn*
BHS,Bahamas,Bahamas
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine
BLR,Belarus,Bélarus
BLZ,Belize,Belize
BOL,Bolivia*,Bolivie*
BRA,Brazil,Brésil
BRB,Barbados,Barbade
BRN,Brunei Darussalam*,Brunei Darussalam*
BTN,Bhutan,Bhoutan
BWA,Botswana*,Botswana*
CAF,Central African Republic,République centrafricaine
CAN,Canada,Canada
CHE,Switzerland,Suisse
CHL,Chile*,Chili*
CHN,China,Chine
CIV,Côte d’Ivoire,Côte d’Ivoire
CMR,Cameroon,Cameroun
COD,DR Congo*,DR Congo*
COG,Congo*,Congo*
COL,Colombia,Colombie
COM,Comoros,Comores
CPV,Cabo Verde,Cabo Verde
CRI,Costa Rica,Costa Rica
CUB,Cuba,Cuba
CYP,Cyprus,Chypre
CZE,Czech Republic,République tchèque
DEU,Germany,Allemagne
DJI,Djibouti,Djibouti
DMA,Dominica,Dominique
DNK,Denmark,Danemark
DOM,Dominican Republic,République dominicaine
DZA,Algeria*,Algérie*
ECU,Ecuador,Équateur
EGY,Egypt,Égypte
ERI,Eritrea*,Érythrée*
ESP,Spain,Espagne
EST,Estonia,Estonie
ETH,Ethiopia,Éthiopie
FIN,Finland,Finlande
FJI,Fiji,Fidji
FRA,France,France
FSM,Micronesia,Micronésie
GAB,Gabon*,Gabon*
GBR,United Kingdom,Royaume-Uni
GEO,Georgia,Géorgie
GHA,Ghana,Ghana
GIN,Guinea*,Guinée*
GMB,Gambia,Gambie
GNB,Guinea-Bissau,Guinée-Bissau
GNQ,Equatorial Guinea*,Guinée équatoriale*
GRC,Greece,Grèce
GRD,Grenada,Grenade
GTM,Guatemala,Guatemala
GUY,Guyana*,Guyana*
HND,Honduras,Honduras
HRV,Croatia,Croatie
HTI,Haiti,Haïti
HUN,Hungary,Hongrie
IDN,Indonesia,Indonésie
IND,India,Inde
IRL,Ireland,Irlande
IRN,Iran,Iran
IRQ,Iraq*,Iraq*
ISL,Iceland,Islande
ISR,Israel,Israël
ITA,Italy,Italie
JAM,Jamaica,Jamaïque
JOR,Jordan,Jordanie
JPN,Japan,Japon
KAZ,Kazakhstan*,Kazakhstan*
KEN,Kenya,Kenya
KGZ,Kyrgyzstan,Kirghizistan
KHM,Cambodia,Cambodge
KIR,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis
KOR,Korea,Corée
